user;date;text;location;retweeter_usr
Red_octubre;Thu Feb 10 23:59:58 +0000 2022;RT @JenniferJJacobs: “American citizens should leave now,” Biden told @LesterHoltNBC on Ukraine, due to Russian troops on border. “We’re de…;Murmansk;KatyaYushchenko
janrobinjackson;Thu Feb 10 23:59:56 +0000 2022;RT @JCBua: As Biden Might Say “No Joke” Lester Holt asked Biden what scenario could prompt him to send troops to rescue Americans fleeing t…;Nashville, TN;KatyaYushchenko
HateTheMachine;Thu Feb 10 23:59:56 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;The Universe;KatyaYushchenko
kwaku_j;Thu Feb 10 23:59:40 +0000 2022;RT @BreakingNews: When asked what scenario could prompt him to send troops to rescue Americans fleeing the country, President Biden replied…;ghana;KatyaYushchenko
Paul4Labour;Thu Feb 10 23:59:35 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;City of London, London;KatyaYushchenko
nonsibicunctis;Thu Feb 10 23:59:32 +0000 2022;RT @jillian_swaine: @bruce_haigh @JustJul77588855 Yes, but it was successful distraction from aged care debacle and the very serious progre…;Queensland, Australia;KatyaYushchenko
SteMartPhotos;Thu Feb 10 23:59:28 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Newcastle/Sunderland/UK;KatyaYushchenko
NarinderBassi3;Thu Feb 10 23:59:24 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;The Universe;KatyaYushchenko
TJ_Nell;Thu Feb 10 23:59:19 +0000 2022;RT @DaveBondyTV: President Biden telling Americans who are in Ukraine to leave now.  He said if a war breaks out with Russia the United Sta…;Pittsburgh Pa;KatyaYushchenko
SteveKinneavy;Thu Feb 10 23:59:09 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Sheffield, S Yorks;KatyaYushchenko
NormieHuman;Thu Feb 10 23:58:57 +0000 2022;RT @JenniferJJacobs: “American citizens should leave now,” Biden told @LesterHoltNBC on Ukraine, due to Russian troops on border. “We’re de…;United States;KatyaYushchenko
lupu_flavius;Thu Feb 10 23:58:20 +0000 2022;"RT @dwnews: ""What is at stake at the moment is nothing less than preventing a war in Europe,"" said German Chancellor Olaf Scholz.

https://…";Montreal;KatyaYushchenko
Celestebyrne3;Thu Feb 10 23:58:09 +0000 2022;RT @B52Malmet: President Biden warns Americans in Ukraine to leave, says sending troops to evacuate would be 'world war'- some quotes on ot…;USA;KatyaYushchenko
magicbravosolo;Thu Feb 10 23:58:08 +0000 2022;"RT @NatashaBertrand: ""American citizens should leave [Ukraine] now,"" Biden told NBC.
“It’s not like we’re dealing with a terrorist organiza…";Tarrytown, NY;KatyaYushchenko
turnermelodie12;Thu Feb 10 23:58:06 +0000 2022;"RT @NatashaBertrand: ""American citizens should leave [Ukraine] now,"" Biden told NBC.
“It’s not like we’re dealing with a terrorist organiza…";columbus ohio;KatyaYushchenko
oneillquigley;Thu Feb 10 23:58:06 +0000 2022;"RT @STWuk: Who Would Benefit From Russia Going to War With #Ukraine? - @ProfPRogers 

https://t.co/Ye7ouMjWvv";Dublin, Ireland;KatyaYushchenko
counterfireorg;Thu Feb 10 23:57:50 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;London;KatyaYushchenko
Mr_Muzik;Thu Feb 10 23:57:47 +0000 2022;"RT @kaitlancollins: ""American citizens should leave now,"" Biden tells NBC about Ukraine. “It’s not like we’re dealing with a terrorist orga…";Long Beach, CA;KatyaYushchenko
pessoptimistic;Thu Feb 10 23:57:44 +0000 2022;RT @ASBMilitary: If you look past the NATO propaganda: Georgia and Ukraine will never be NATO members. Russia made sure of it in 2008 and i…;Terra;KatyaYushchenko
EmpressConsort;Thu Feb 10 23:57:40 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Universe;KatyaYushchenko
palkls;Thu Feb 10 23:57:39 +0000 2022;"RT @NatashaBertrand: ""American citizens should leave [Ukraine] now,"" Biden told NBC.
“It’s not like we’re dealing with a terrorist organiza…";Ventura, CA;KatyaYushchenko
Superdu93061761;Thu Feb 10 23:57:32 +0000 2022;"RT @AlessioUrban: If this is a Ponzi scheme.. tensions between Russia &amp; Ukraine will explode in a war to distract the people 

Central bank…";Somewhere;KatyaYushchenko
purrmonsta;Thu Feb 10 23:57:23 +0000 2022;"RT @sahilkapur: Biden says he’s “not looking to make an ideological choice” on SCOTUS.

He wants a Breyer-like judge “with an open mind, wh…";United States;KatyaYushchenko
